Date,Time,NetName,Addr,Token,Action,DataID,DataDetail,Cluster_x,Cluster_y
2024/05/29,16:43:55,Hist_GreekMyth,-,-,NETCREATE APPSERVER SESSION LOG for 2024/05/29 Wednesday 16:43:55,,,5,1
2024/05/29,16:43:55,Hist_GreekMyth,-,-,---,,,5,1
2024/05/29,16:43:55,Hist_GreekMyth,UADDR_01,-,joined network,,,0,0
2024/05/29,16:43:55,Hist_GreekMyth,UADDR_01,-,getdatabase,,,0,0
2024/05/29,16:46:29,Hist_GreekMyth,UADDR_01,-,left network,,,0,0
2024/05/29,16:46:30,Hist_GreekMyth,UADDR_02,-,joined network,,,4,2
2024/05/29,16:46:30,Hist_GreekMyth,UADDR_02,-,getdatabase,,,4,2
2024/05/29,16:46:36,Hist_GreekMyth,UADDR_01,-,SRV_NET  -,pong not received before time ran out -- CLIENT CONNECTION DEAD!,,0,0
2024/05/29,17:30:46,Hist_GreekMyth,UADDR_03,-,joined network,,,3,1
2024/05/29,17:30:46,Hist_GreekMyth,UADDR_03,-,getdatabase,,,3,1
2024/05/29,17:32:32,Hist_GreekMyth,UADDR_03,-,select node,255,Selene,3,1
2024/05/29,17:32:33,Hist_GreekMyth,UADDR_04,-,joined network,,,3,1
2024/05/29,17:32:33,Hist_GreekMyth,UADDR_04,-,getdatabase,,,3,1
2024/05/29,17:32:37,Hist_GreekMyth,UADDR_05,-,joined network,,,3,1
2024/05/29,17:32:37,Hist_GreekMyth,UADDR_05,-,getdatabase,,,3,1
2024/05/29,17:32:53,Hist_GreekMyth,UADDR_05,-,left network,,,3,1
2024/05/29,17:32:53,Hist_GreekMyth,UADDR_06,-,joined network,,,3,5
2024/05/29,17:32:53,Hist_GreekMyth,UADDR_06,-,getdatabase,,,3,5
2024/05/29,17:32:55,Hist_GreekMyth,UADDR_03,-,left network,,,3,1
2024/05/29,17:32:56,Hist_GreekMyth,UADDR_07,-,joined network,,,1,4
2024/05/29,17:32:56,Hist_GreekMyth,UADDR_07,-,getdatabase,,,1,4
2024/05/29,17:33:01,Hist_GreekMyth,UADDR_07,CLASS1-G1-Y7Z,select node,255,Selene,1,4
